1	18529	74
5	60935	73
8	87134	72
13	128326	69
15	143943	68
16	151881	67
17	159722	63
27	234255	61
31	263156	59
34	286981	56
39	325570	53
55	441258	52
57	455796	51
60	477816	49
63	500177	47
66	520776	46
70	549223	45
89	677781	43
90	684031	42
95	717479	39
99	744135	38
113	833668	37
121	885023	36
123	899031	35
124	906371	30
126	921318	29
129	942132	28
130	948987	26
205	1361049	25
214	1411297	24
223	1462165	23
333	2042393	22
453	2693312	21
461	2742737	20
501	2961935	19
524	3080425	18
535	3141634	17
540	3172272	16
566	3323500	15
583	3421876	14
593	3479865	13
598	3510270	12
655	3832368	11
691	4024860	10
704	4096337	9
723	4200117	8
875	4937529	7
1246	6674024	6
1489	7824786	5
1600	8328749	4
18447	82650588	3
19120	85557765	2
55484	237825074	1
70016	300113026	0
