1	30316	140
2	49109	138
3	63835	137
8	118367	135
9	127774	134
10	137555	131
14	175527	129
21	236864	126
22	245038	124
23	253231	122
26	277698	119
27	285956	117
30	322756	116
31	334385	115
32	344935	114
33	355293	112
35	384393	111
42	453753	109
43	464691	108
47	504272	106
49	522921	104
51	540825	102
52	549806	100
58	603505	99
61	628157	96
63	647533	95
74	756333	92
77	788090	89
78	796643	88
85	859785	83
86	867567	82
87	874905	81
88	884069	80
91	911371	79
92	921729	78
97	967789	76
99	987362	73
103	1019574	70
109	1069986	68
111	1086557	65
114	1109809	64
117	1137401	62
119	1155087	61
124	1198275	60
131	1253122	57
147	1378487	56
154	1433828	55
155	1440043	54
156	1446843	53
167	1528648	52
177	1598048	50
213	1842991	49
234	1975639	48
256	2137561	47
275	2264761	46
297	2398298	45
317	2521280	44
334	2626109	43
338	2650730	42
357	2767716	41
405	3079726	40
410	3106024	39
414	3130492	38
422	3182062	37
423	3187831	36
454	3389616	35
491	3631847	34
520	3808349	33
579	4146144	32
625	4403459	31
632	4448850	30
645	4525509	28
664	4644346	25
709	4909174	24
725	4998671	23
758	5178160	22
795	5377551	21
807	5444510	20
812	5471656	19
952	6226206	18
983	6408895	17
1232	7755777	16
1250	7850129	15
1595	9684658	14
1615	9793934	12
1740	10458202	11
1944	11551445	10
2737	15643120	9
4082	22499007	8
5660	30434470	7
7870	41654627	6
67295	346780064	4
75704	390051019	3
79150	407999555	2
20000000	90101910650	2
