1	18608	60
8	95202	57
10	112373	54
11	119390	53
34	344418	51
35	353431	49
44	424815	48
45	432230	44
46	439105	43
55	500982	42
56	508125	41
61	545528	40
62	552985	39
146	1209139	36
149	1226570	34
151	1238965	33
153	1250662	32
359	2805240	28
363	2832549	27
364	2838400	26
387	2984114	25
392	3014438	24
397	3047023	23
421	3181642	22
429	3232405	20
440	3296275	19
1424	9919333	18
1453	10073596	17
1459	10109034	15
1460	10114047	14
1517	10414631	13
1530	10484147	11
1533	10502517	10
2587	16957308	9
2599	17015409	7
2642	17244488	6
4588	28447167	5
5338	32487302	4
10089	59733154	3
16484	93938926	2
16553	94273658	1
28706	158604193	0
