1	26665	86
2	43805	85
4	73163	83
5	87116	82
11	159364	79
15	202515	77
22	278251	76
25	307878	75
31	363743	74
32	373082	72
33	383326	69
34	393297	68
35	402971	67
36	413316	66
38	433443	65
40	451905	61
47	519901	56
55	592378	55
68	707266	54
73	752145	53
80	811008	51
83	836117	50
84	844595	49
87	870625	48
91	904304	47
93	922228	45
104	1013786	44
108	1048262	43
134	1246030	41
138	1278723	40
145	1335852	37
166	1491703	33
174	1550371	31
184	1621796	30
223	1894595	28
227	1923264	27
236	1991003	26
242	2036388	25
284	2322744	22
309	2480674	21
320	2552482	20
325	2583619	18
352	2773497	17
392	3027681	16
453	3402951	15
500	3711772	14
509	3772878	13
649	4639531	12
658	4697448	11
795	5557559	10
880	6057826	9
1349	8765200	8
1370	8897971	7
1415	9149142	6
2301	14141668	5
4169	24825521	4
4954	29191403	3
5493	32163085	2
20000000	99511309615	2
