1	43097	80
4	88843	79
8	139596	73
10	163866	71
13	199519	68
14	211928	67
15	223424	66
16	234577	64
19	268766	61
26	350805	60
47	590575	57
53	655094	56
61	739487	54
78	921453	53
81	954045	51
83	975547	49
91	1061141	48
93	1082570	47
97	1124750	46
109	1246200	45
111	1266238	44
116	1315264	42
117	1325638	41
121	1365443	40
133	1484969	38
140	1556438	37
149	1644558	36
172	1854530	34
177	1901030	33
181	1939488	31
186	1986157	30
188	2004463	29
201	2133851	28
225	2364964	26
226	2375172	25
238	2496938	23
244	2556290	22
272	2811680	21
282	2902849	20
335	3360225	19
377	3707087	18
435	4171256	17
603	5500402	16
611	5561877	15
672	6046990	14
726	6453187	13
766	6758403	12
870	7548102	11
873	7570715	10
1424	11643675	9
1470	11986343	8
1518	12355123	7
1803	14354665	6
2529	19334348	5
3100	23247344	4
3101	23253960	3
89080	549258800	2
92459	569776290	1
20000000	112061419456	1
