1	22846	103
16	179380	102
17	187642	99
19	203370	98
62	662664	97
64	676932	95
65	684600	92
69	713667	91
71	728119	89
72	735033	88
185	1670894	87
186	1677550	86
188	1691424	85
189	1698264	84
192	1718735	82
196	1747407	80
198	1761310	79
203	1797587	77
205	1811268	76
211	1850845	75
216	1882590	73
223	1927298	72
233	1991341	71
236	2010552	70
243	2051177	69
246	2067779	67
253	2109077	63
255	2120420	62
256	2126613	61
285	2286916	60
290	2313278	58
294	2334695	57
296	2345487	54
298	2355901	53
608	4412879	52
610	4425186	51
621	4488986	49
633	4556292	47
636	4574573	46
638	4585958	44
1093	7570050	43
1096	7587926	41
1101	7615744	40
1102	7624600	39
1110	7684086	38
1116	7720089	37
1135	7822050	36
1137	7833126	35
1160	7957646	34
1494	10159956	33
1518	10281061	32
1936	12979982	31
1940	13000995	30
1953	13066807	29
1966	13129119	28
1971	13155093	26
1984	13219058	25
1985	13224656	24
1997	13289594	23
2019	13397060	22
2092	13757514	21
2097	13782131	20
2102	13807780	19
2113	13864824	18
2140	14001777	17
2179	14202102	16
2224	14434749	15
2260	14608003	13
12612	71318008	12
12756	71983883	11
15612	87145456	10
20130	110979626	9
20754	113903213	8
20761	113937376	7
20977	114948686	6
36470	191052630	5
36590	191593675	4
53163	271054275	3
101512	494456103	2
153986	951666999	1
158182	992561496	0
