1	14554	62
2	23781	59
4	37232	55
5	42765	53
7	51896	51
12	74070	50
14	82512	48
24	123258	45
28	139776	43
38	182504	42
39	187208	40
51	239290	35
53	248138	33
54	252403	32
56	261275	31
58	270594	30
71	326756	29
73	334895	27
77	352325	25
84	380754	24
94	426193	23
97	438001	22
114	498315	20
155	649315	19
157	655950	18
175	717886	17
177	725023	16
196	795293	15
250	980573	14
280	1073477	13
282	1081024	12
572	1983827	11
702	2365107	10
739	2479727	9
742	2488641	8
782	2609761	7
923	3031756	6
1591	5004553	5
2567	7744424	4
3674	10879528	3
12504	34976284	2
35602	99147640	1
39016	108736690	0
