1	15852	66
4	47802	63
11	111984	62
15	147119	61
17	164342	60
18	173062	57
19	181601	56
21	198222	55
24	223118	53
26	240344	50
32	290310	49
37	331113	48
39	347720	45
41	364714	44
56	482819	43
61	522199	40
66	560647	38
73	613396	37
74	620767	35
100	810948	34
108	870739	33
122	968127	32
125	988509	30
161	1228551	29
165	1256016	28
184	1389138	25
201	1504689	23
235	1731634	22
236	1738768	21
315	2241309	20
318	2261192	18
335	2371946	17
343	2422934	16
394	2734765	15
476	3229934	12
515	3475959	10
811	5084644	9
972	5969438	8
1153	6938262	7
1404	8270175	6
1716	9819310	5
3336	17549015	4
4262	21913739	3
17796	81827765	2
22337	102449022	1
20000000	83362244882	1
