1	27825	107
2	50504	106
11	224261	103
14	282450	102
74	1217134	100
76	1245781	97
84	1355583	95
85	1368975	94
89	1421723	92
92	1461925	91
105	1637101	89
108	1678129	88
109	1691538	87
112	1733638	84
115	1774999	82
163	2492422	80
168	2560987	79
170	2586892	74
179	2703429	73
256	3803393	70
270	3975654	67
271	3988516	66
279	4085659	64
280	4097556	63
282	4122320	61
289	4209104	60
291	4233128	58
301	4353781	56
303	4376340	55
311	4474312	54
315	4520530	53
321	4591828	52
329	4687288	50
338	4794848	49
362	5075820	48
559	7541552	46
566	7632752	45
567	7645145	43
573	7718706	42
575	7742941	41
591	7930062	40
602	8053911	39
603	8064999	37
609	8133019	35
610	8144834	34
617	8228168	33
625	8324456	31
1820	21999394	30
1824	22036819	29
1833	22122104	28
1849	22265646	26
1850	22274727	25
1855	22318839	24
1887	22601116	23
1909	22799552	22
1922	22906071	21
2949	33568654	20
4360	48202466	19
4378	48350881	18
4395	48497044	16
4398	48525476	15
4407	48605171	14
4453	48972394	13
4562	49886528	12
4737	51376225	11
5703	60669854	10
18221	179596588	9
19836	193152598	8
20940	202071720	7
21067	203105652	6
21121	203528233	5
60055	537588568	4
110729	943198909	3
175896	1447205728	2
1193960	9103351222	1
20000000	135942308616	1
