1	19379	74
4	62934	71
8	112722	69
15	193510	68
29	344741	66
30	354957	65
31	365814	61
42	478191	59
50	552858	58
52	571911	57
57	619717	55
61	656883	52
67	712675	51
69	731286	50
71	749855	47
79	820207	45
87	891039	44
90	917875	42
98	988944	41
100	1007640	39
103	1035988	38
104	1045184	37
120	1176805	36
130	1252993	34
180	1625948	33
187	1678114	32
191	1708855	31
215	1882528	30
222	1936585	29
233	2020243	28
285	2415919	27
326	2736200	26
334	2805816	25
352	2940707	24
356	2971776	23
361	3013710	22
375	3130400	21
410	3399612	20
420	3471951	19
437	3602326	18
457	3760028	17
480	3930786	16
523	4240123	15
599	4751836	14
635	5007464	13
858	6373911	12
1076	7762397	11
1115	8009260	10
1406	9754542	9
1536	10549224	8
2355	15478831	7
2360	15511189	6
2560	16745791	5
3486	21946071	4
6991	41919292	3
13440	77029420	2
218342	1166543650	1
20000000	100544725416	1
