1	15746	86
3	38740	73
5	57942	70
7	70553	69
15	108830	68
17	117404	67
18	121979	65
56	355583	64
59	369291	62
61	377442	60
64	391070	58
70	415802	55
71	420566	54
75	438030	53
147	894525	52
158	941208	51
161	952943	49
162	957426	48
173	1005859	47
175	1014917	44
176	1019584	41
179	1033156	40
183	1050038	39
189	1073835	38
191	1082805	37
199	1118032	36
202	1130625	35
219	1198696	34
230	1245843	32
248	1317644	31
254	1343297	30
281	1447431	29
285	1464251	27
288	1477176	26
289	1481592	25
291	1490059	24
293	1497984	23
580	2770440	22
592	2818867	21
594	2827880	19
1079	4908662	18
1173	5229085	17
1987	8556095	16
1991	8570158	15
4497	18470043	13
4518	18539610	12
4537	18602337	11
4578	18734760	10
4669	19033999	9
4670	19038065	8
4725	19211962	7
6692	26543990	6
6738	26692247	5
10124	38483970	4
10493	39687632	3
10563	39912095	2
50218	182990050	1
144797	674143438	0
