1	33158	109
14	250918	107
16	279992	105
18	307569	103
23	370018	101
26	408082	99
27	419846	98
29	443860	96
34	503946	94
35	516084	92
41	582413	89
44	615773	88
46	639817	87
79	1014905	86
85	1084094	84
88	1119872	82
91	1156440	81
92	1168902	79
98	1239438	78
99	1251571	76
106	1329031	75
107	1339890	74
108	1352024	73
110	1376845	72
111	1390427	70
113	1415728	66
120	1499892	65
133	1636786	64
136	1667835	63
138	1687949	62
139	1698524	61
146	1775463	59
147	1786337	58
150	1820134	57
161	1946505	56
163	1968752	55
165	1990902	53
168	2032698	52
178	2140058	51
185	2216363	50
186	2226772	49
190	2269950	48
247	2819995	47
250	2851063	46
277	3107965	45
296	3285437	44
298	3304118	43
305	3372935	41
308	3402027	38
375	4025396	37
395	4210341	36
463	4818395	34
489	5044895	33
499	5136621	32
504	5184027	31
555	5633054	30
562	5705138	29
647	6466692	28
682	6775557	27
815	7899898	26
826	7998961	25
887	8535956	24
892	8582351	23
899	8650923	22
957	9165740	21
991	9452461	20
994	9479662	19
1056	10016458	18
1121	10577631	16
1141	10745282	15
1295	11994940	14
1486	13587857	13
1528	13931454	12
1549	14107174	11
1608	14586981	10
3331	28220893	9
4272	35537069	8
5749	46854861	7
8123	65020306	6
10011	79423156	5
10102	80118979	4
24076	185760699	3
28739	220781095	2
118664	885103950	1
20000000	134988587977	1
