1	22092	75
2	36781	73
4	60821	72
6	81753	71
12	158846	70
13	167336	69
20	222839	68
24	257701	66
25	266539	65
32	326033	63
36	358191	62
37	366006	60
47	432538	59
53	473799	58
54	481512	57
64	551452	56
78	644258	55
84	682520	54
95	752000	53
96	758956	51
99	780393	49
121	918169	48
122	924032	47
132	983224	46
138	1022356	44
139	1029104	43
143	1055900	39
168	1218922	38
183	1305929	37
198	1388222	36
219	1502830	34
225	1537980	33
231	1574587	32
233	1587700	30
249	1697653	28
254	1728741	27
269	1824235	26
277	1873944	25
294	1967873	24
298	1990590	23
300	2002383	22
331	2186249	21
356	2332297	20
366	2388300	19
373	2432481	18
425	2711284	17
435	2768935	16
438	2785713	15
502	3132358	14
539	3308640	13
540	3313519	12
577	3486082	11
581	3506707	10
766	4439779	9
950	5327362	8
1529	8239622	7
1625	8714602	6
2005	10518850	5
4197	20725922	4
5131	24989306	3
5614	27207956	2
16721	78557093	1
20000000	85911661644	1
