1	22539	100
4	53119	98
5	59961	95
6	66693	93
8	78599	92
11	93595	89
13	102402	87
15	112417	83
18	127980	81
24	157241	80
25	162912	78
26	167895	77
30	190401	76
31	196210	75
33	207022	74
38	232573	73
39	237377	71
40	242352	70
48	282522	66
53	304215	65
57	320878	63
58	325291	61
59	329991	60
65	357752	59
71	386462	58
80	425649	56
87	455455	55
102	517492	52
109	549730	51
111	557774	49
115	574872	47
117	582719	44
119	590367	43
121	598963	42
128	626602	41
129	630451	40
132	642960	37
137	664377	36
139	673411	35
146	700545	34
182	836768	33
184	844736	31
186	853725	29
187	858332	28
190	870818	27
221	984040	26
229	1017610	25
313	1317105	24
316	1329840	23
331	1394195	22
345	1448303	21
374	1561057	20
384	1594935	19
422	1734937	18
454	1853652	17
465	1897296	16
486	1969167	15
490	1982895	14
547	2188119	13
585	2316433	12
628	2463448	11
684	2658070	10
689	2675382	9
839	3205619	8
956	3593566	7
1534	5474721	6
1617	5742052	5
1925	6761412	4
2270	7873162	3
2869	9771182	2
2877	9797034	1
20000000	99207346998	1
