1	45407	101
3	76742	100
4	89957	97
6	115307	95
14	203043	94
15	213011	92
20	260499	91
21	270003	89
23	293946	84
24	304293	83
28	344653	81
32	380950	80
35	408960	79
37	427937	76
39	446525	72
41	466343	71
42	476317	70
43	486751	69
45	508052	68
47	527978	67
59	643978	64
62	670499	63
64	687803	60
66	705635	59
75	783492	57
78	807950	56
80	824423	55
91	919548	52
98	973082	51
102	1003981	49
104	1021105	48
141	1299823	46
146	1334191	45
147	1341229	43
174	1527168	42
183	1594639	41
191	1651327	39
192	1658747	38
230	1923631	37
245	2036377	36
273	2221617	35
274	2228399	34
294	2372917	33
324	2581195	31
346	2747832	29
347	2754730	28
350	2776165	27
413	3183572	26
439	3365859	24
458	3501035	23
478	3631581	22
482	3656869	21
520	3898620	19
672	4857117	18
741	5271940	17
781	5522902	14
789	5573800	13
812	5719330	12
1095	7498375	11
1110	7599629	10
1163	7928817	9
1164	7935029	8
1224	8297771	7
1733	11324222	6
1850	12008858	5
26133	142790351	4
26815	146554386	3
39306	215742134	2
20000000	107092757828	2
