1	26968	133
6	96856	131
7	106765	127
8	116467	125
10	135089	124
12	154068	120
13	162996	119
17	198432	116
25	269656	113
28	297638	112
31	319810	111
32	327764	110
35	356943	109
38	381866	107
45	437755	106
54	501953	105
57	522880	103
61	550249	101
66	587264	100
69	608295	98
75	653498	96
76	661296	94
80	691790	91
82	708807	90
83	717588	89
86	743171	88
90	775614	87
91	783097	85
92	791017	84
94	807237	83
100	852535	81
102	867271	80
115	959738	78
116	966508	77
121	999104	75
123	1012546	74
126	1032152	73
145	1165861	72
151	1203982	70
158	1251057	67
160	1264480	66
161	1271402	65
173	1353211	64
180	1404026	63
188	1461160	62
194	1504259	59
195	1511569	58
199	1541119	57
204	1575355	56
219	1669531	55
220	1676525	54
228	1728461	53
240	1801209	52
257	1908542	50
295	2131761	49
334	2344048	48
348	2429916	47
368	2555608	46
381	2638639	44
394	2713556	43
399	2740879	41
431	2930254	40
453	3069662	39
473	3196248	38
492	3321849	35
513	3452353	34
565	3767179	33
566	3772957	32
587	3898806	31
680	4416567	30
693	4490261	29
704	4555148	28
737	4741815	26
775	4945777	25
818	5176862	23
912	5714900	22
1015	6288107	21
1073	6611388	20
1087	6699758	19
1310	7934916	18
1333	8062058	17
1452	8703783	16
1752	10236129	15
2053	11759841	14
2222	12652782	13
2283	12963480	12
3272	17996154	11
4080	22098958	10
4453	23958571	9
5257	28005905	8
6016	31857702	7
6761	35570731	6
7264	38044921	5
10697	54997703	4
11976	61422330	3
22985	117063976	2
20000000	154124711585	2
