1	28756	128
3	62180	127
10	132460	126
15	173817	125
17	189442	123
29	282541	119
31	309707	118
32	318393	117
34	337493	116
37	384548	113
45	473039	111
46	482869	109
50	523071	108
52	542189	104
59	608198	103
62	634959	102
65	657436	101
66	665336	100
68	692347	95
69	702633	94
70	712880	93
76	768910	87
77	777963	85
79	794937	83
84	842842	77
91	893116	76
92	903494	75
96	941743	73
100	977758	71
102	994927	66
107	1034463	65
111	1064600	63
117	1107937	62
136	1251715	61
139	1272613	59
161	1439066	58
174	1529615	56
189	1648929	54
211	1800912	53
212	1807316	52
246	2033775	50
253	2084238	49
256	2104354	48
274	2220018	47
295	2354634	46
349	2692960	45
356	2741842	44
394	2984524	42
426	3171486	41
427	3177309	40
435	3228179	39
448	3299527	38
510	3657185	37
522	3725583	36
543	3844611	35
681	4640469	34
700	4753317	33
819	5450184	32
849	5620459	30
862	5691477	29
863	5695716	28
921	5998081	27
943	6127295	26
947	6151519	25
949	6162772	24
998	6434929	23
1045	6700868	22
1094	6966642	21
1436	8754442	20
1626	9778861	19
1645	9872026	18
1692	10114127	17
1756	10464639	16
1762	10501808	15
1905	11254137	14
1956	11532952	13
2895	16489375	12
4899	26903198	11
10588	56286768	10
11065	58672623	9
14623	76684547	8
14674	76939518	7
23719	122857144	6
25526	131899084	5
35194	180397220	4
127261	644281400	3
233122	1172754514	2
20000000	99456595347	2
